,index,match,url,Position,Company,Location
0,305,0.8,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DUEl9wMTI7jD9GyYgb7xgkxi5y1IsmKOI9ITxexUWPWWwRYPSi_8uyWoEXuNl0I9Ta9IyYTPIcTIVBbK0xdMDx3U-1A5dCvD5OAOuWfj4D_3wbCbqo6HBUSr1DoeCR-rAzp5k1uf4Qf-PndQAyG9YyrHpVGdvz9ip57TO9N7RoiF9djeTQ47GNEjpedGDHdC4pw6RD6ckhe4c27vcmUVqK2IkRgmFL1bTYfhpOxg0i5zwaNvIAxO9Lw6B0ObZEtRDFgJMkqmdZTrDTV46lB1EU4NPOzazOTJetJNCX2Pa4GIBt0GSpJu2QbaiVnMLnLOzozWBf0yxbrxsXAPqBAMk8s_o838S94oi4ueGWiG_ROuQhZaHFG7Uwj25XobMNQ8gUcb0uXmXkdKYGk_UDWyYIpdA4x8A4RA-9XdvEhBZIpLn6tjJbCbH9UqOOkrv9G7Gihc4kMKYMNpSGoENp1qq0YrWU3zj9U2D_eaJTrk26HQ==&xkcb=SoAN-_M3WiMTCBxchZ0JbzkdCdPP&p=9&fvj=1&vjs=3,Marketing Coordinator - Prospect Outreach Specialist,Heckmann Financial,"Middleton, WI 53562"
1,133,0.81,https://www.indeed.com/rc/clk?jk=dbf6e6a46aa7df96&fccid=7816d2f6e243dded&vjs=3,Data Science Analyst,Banyan Data Services,"San Jose, CA"
2,164,0.81,https://www.indeed.com/rc/clk?jk=4524959771a1de0f&fccid=520a1b3e3e281d56&vjs=3,IT Support Specialist,Bear Flag Robotics,"Newark, CA 94560"
3,753,0.82,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_M7ZUsoYMwH68zojzyrVOoOs9eXC1xObBp6Ia0bmyqSIRxVlS14Du3icKMDWQr5e9ra3D_GYR85jOM8uJbkjSKn_7ko-QZwZ5y-fSZNVJ1-4PXO_otjZhmh-jJRF37YZit-2wZdYNDUcCeJH5i5Q1X_PK4r-LB9AvVTWr8HVIEqjzVTz7RSGpTwtzxhooXQT8k8N8SBK5cTFfrUDzXzHLZszDaWLtXEbCALPqj4vdGftX3v8sRM0hk9sO-R2e2YuiG5s92Ra5FgD7cyECZcTo9ozT4LCrSKKZCrvu8yvx9iJ6RjMWz5vA81ijnPTjQppJcOq7s1Na75OAvk3_ZPaud1NxoC0Ibzj1bM-npQV7lMxzaVfPLcNnXCH4fNFO8oWXnCiPnAHFUULgelj7_GXpQu_WrXJ0coMNWd13gWVodj-qdzzn7fCJcBkVZ99r0FAEfeTKpyxrNyWkA3Do5saKEwGnad5xx3a4WfIZmLH-7JAcSysVf4m0oeU=&xkcb=SoBr-_M3WiPf8V2ZsB0LbzkdCdPP&p=3&fvj=0&vjs=3,DevOps Engineer,Robert Half,"Woodbridge, NJ 07095"
4,310,0.82,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAMU8N5hUzJQCWIAPRqs5LfaRtk6z_Z1TMfdIlbFdd4c19tckayXEYZn5_3FwJPsUSoDnedVx-LR_H45IuUhSEy25KiSePRAzXQtRM4L4mhW55MyJfhqsV-CjpsuMucywmAQ9FXJhmPElrevWjSofe0afRQwRtACh8uDlpd93yk9ecVcKlb9mopcRA03CVWw8PK5TPn4ozgw5_9tYP2CshVupYZZ40nnfSJ7A0ypkma2CUXyIaEdbJZdi36p8ox44Fkz2LMPdtMBIntVAvJGuf6wgvbnfXAHkHBriWnE-VcbGQr6NGK9Bv1oA00O40-B-pk6sNtuAL5h3X1cY5YLml-YRezhxjWEPK-h1iYBMetDI9gIKMdTs6mgNMbIPlpP6c1tjCRCW1BPuZb6PsmCx2ZYgn-Oi5ESh2IjzxSYFbostU0Sl4XYCFKRtAG0qq9jN1hVBAgPNhX45bkWpO1dihxVyhyMSiHrg5ysLOR8h11eq-4cwi5xkQnJMk0kyN4-k=&xkcb=SoD8-_M3WiMTCBRchZ0IbzkdCdPP&p=6&fvj=1&vjs=3,Financial Representative,Northwestern Mutual,"Middleton, WI"
5,4,0.82,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAezr-5Y981Z1DAlqNgxc_oBTCqSWb7n6OEBzxh4A7sBNg-QRgPSZdEzwQz7dY_BrvExw0gUxnYjlqEs4HVHm_M5_N2X3phdfbF5oMZTxlBFdkty7G4RhL2o9XY7nLwZmO8kEAGmVm6I4hEXUCHeBl9ETaRFh3sCeNOMUkby-2g8N_6bxVxiHIv76Ng6UnM_bv-Wo1uCLkiGw3E1DjEbagLJWOqMawLv6ASpBOognulZmS_TRHzhfgVGAE8Ysa-YVFmq_a5IGw64_iZRXyU6JJCYBRw2mM_yX7OVP1miFwKBzgLJNuWE8tQIi8PkS4UR0kuVlEQg6yfoIwtbFrIwtHBG8UgeMv8zyBuwtj0frYao8Yb10qmMS7XoAJXtKrG03xF3byjzpoAANFuDYt_FVXb_1JTbJIY9dKydeyezi_39sKrA3WLD0AJC78ciyrtQZqcCPacPOgzDbqSyC4KgrkPtvsSG5n9t-kQ4zMpBT0AvNgLjv9a393-O6CsgPDyfFcMu_QcLfqJw==&xkcb=SoDA-_M3WhMA2kwa5J0PbzkdCdPP&p=0&fvj=1&vjs=3,Senior Java Developer,Emergent Software,"Houston, TX"
6,302,0.82,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DoV981_fZYiKoRcIm2FC_FTnnHx5ZdktKPM6qSsJbx--ccYBey130qR7-AkkHCBMf-E9ZsunJeUryhQnX2fIJR25jFRz-wmTV7gH7kQanMszs19s4cbsOo6Q0PMwOO7GgpHEcKmOm62V_9MNqmWtafJq2hgz1o2lK6wVkErblmfwUiYH8tcSs0Jy-XXLrbQh_BzmKO0OuHc0B9P-UNj9h9JTAl6hmDN4dp6plSghxk0dnowXSrj1LanmUhdTZmp-0wxkoh8EpTEt081YEXIAemaWb3-_jmDCbd1nN-mUH8hgAzL3xQD0UzDCGBUJKSHVRZdvKoPbhP95R1GaoAu0xihu-Gwfm9BggkPLzyK_SuKj0Ua6r2C1P4MzkuGTUw--n_JnZ0c6e5Fk2HKO4AOlphvNUlqXIx1cnfPOUO3rmlsA45Tq1fn2kuOofPA8W5KgSi_KpduoTAY66hYtOjGkrTqHi_BYCgUiqWBB-_gHBu35UYzVrDSRf8&xkcb=SoCQ-_M3WiMTCBxchZ0KbzkdCdPP&p=8&fvj=1&vjs=3,Financial Advisor - Sign On Bonus,MassMutual,"Madison, WI"
7,292,0.82,https://www.indeed.com/rc/clk?jk=3c8455090d786086&fccid=ea76c75716af82e7&vjs=3,Data Science Marketing Specialist,SmartUQ,"Madison, WI 53705"
8,397,0.82,https://www.indeed.com/company/Emergent-Software/jobs/Senior-Java-Developer-14c4128bfdff6949?fccid=f71d2cce2ac2a758&vjs=3,Senior Java Developer,Emergent Software,"Rochester, NY"
9,24,0.82,https://www.indeed.com/rc/clk?jk=8dc3143236850f62&fccid=216eb700022de6f6&vjs=3,Software Engineering Graduate,Hewlett Packard Enterprise,"San Jose, CA 95002"
